Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['The Rutland daily globe.'],12-30-1873,3,['sn84022473'],['rutland'],['vermont'],['University of Vermont'],['vtu_foxville_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_foxville_ver01/data/sn84022473/00280777535/1873123001/0827.pdf
['Rutland weekly herald.'],04-27-1871,4,['sn84022367'],['rutland'],['vermont'],['University of Vermont'],['vtu_leek_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_leek_ver01/data/sn84022367/00415628377/1871042701/0555.pdf
['Green-Mountain freeman.'],08-28-1872,1,['sn84023209'],['montpelier'],['vermont'],['University of Vermont'],['vtu_hildene_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_hildene_ver01/data/sn84023209/00202197590/1872082801/0474.pdf
['Vermont phœnix.'],02-10-1871,3,['sn98060050'],"['brattleboro', 'bellows falls', 'ludlow']",['vermont'],['University of Vermont'],['vtu_danby_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_danby_ver01/data/sn98060050/00280777365/1871021001/0781.pdf
['Vermont phœnix.'],07-21-1871,1,['sn98060050'],"['brattleboro', 'bellows falls', 'ludlow']",['vermont'],['University of Vermont'],['vtu_danby_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_danby_ver01/data/sn98060050/00280777365/1871072101/0859.pdf
['The Rutland daily globe.'],06-04-1874,3,['sn84022473'],['rutland'],['vermont'],['University of Vermont'],['vtu_foxville_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_foxville_ver01/data/sn84022473/00280777547/1874060401/0525.pdf
['The Middlebury register.'],08-30-1870,3,['sn83025667'],['middlebury'],['vermont'],['University of Vermont'],['vtu_irasburg_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_irasburg_ver01/data/sn83025667/00280777821/1870083001/0134.pdf
['Green-Mountain freeman.'],12-24-1873,2,['sn84023209'],['montpelier'],['vermont'],['University of Vermont'],['vtu_hildene_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_hildene_ver01/data/sn84023209/00202197607/1873122401/0207.pdf
['Green-Mountain freeman.'],12-23-1874,2,['sn84023209'],['montpelier'],['vermont'],['University of Vermont'],['vtu_hildene_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_hildene_ver01/data/sn84023209/00202197607/1874122301/0416.pdf
['Green-Mountain freeman.'],01-18-1871,1,['sn84023209'],['montpelier'],['vermont'],['University of Vermont'],['vtu_hildene_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_hildene_ver01/data/sn84023209/00202197590/1871011801/0136.pdf
